date,price
10-Feb-2014 02:32:07,693
10-Feb-2014 02:33:37,324
10-Feb-2014 02:34:07,325
10-Feb-2014 02:34:37,324
10-Feb-2014 02:36:07,107
10-Feb-2014 02:39:07,106
10-Feb-2014 02:39:37,107
10-Feb-2014 02:40:07,106
10-Feb-2014 02:43:37,109
10-Feb-2014 02:44:07,106
10-Feb-2014 02:45:07,107
10-Feb-2014 02:50:07,106
10-Feb-2014 02:54:07,107
10-Feb-2014 02:55:37,106
10-Feb-2014 02:59:37,107
10-Feb-2014 03:01:07,106
10-Feb-2014 03:11:37,343
10-Feb-2014 03:12:07,342
10-Feb-2014 03:12:37,769
10-Feb-2014 03:13:07,513
10-Feb-2014 03:13:37,511
10-Feb-2014 03:14:07,852
10-Feb-2014 03:14:37,849
10-Feb-2014 03:15:37,845
10-Feb-2014 03:16:07,844
10-Feb-2014 03:16:37,842
10-Feb-2014 03:17:07,841
10-Feb-2014 03:17:37,838
10-Feb-2014 03:18:07,839
10-Feb-2014 03:18:37,836
10-Feb-2014 03:19:37,835
10-Feb-2014 03:20:07,834
10-Feb-2014 03:20:37,832
10-Feb-2014 03:21:07,831
10-Feb-2014 03:22:07,830
10-Feb-2014 03:22:37,828
10-Feb-2014 03:23:08,829
10-Feb-2014 03:23:37,828
10-Feb-2014 03:24:37,690
10-Feb-2014 03:25:07,693
10-Feb-2014 03:26:08,695
10-Feb-2014 03:26:38,326
10-Feb-2014 03:28:08,324
10-Feb-2014 03:28:38,325
10-Feb-2014 03:29:08,324
10-Feb-2014 03:30:08,469
10-Feb-2014 03:30:38,322
10-Feb-2014 03:31:08,272
10-Feb-2014 03:31:38,109
10-Feb-2014 03:32:08,55
10-Feb-2014 03:32:38,147
10-Feb-2014 03:33:38,55
10-Feb-2014 03:34:08,53
10-Feb-2014 03:37:08,52
10-Feb-2014 03:38:08,53
10-Feb-2014 03:38:38,52
10-Feb-2014 03:39:08,53
10-Feb-2014 03:39:38,52
10-Feb-2014 03:40:08,53
10-Feb-2014 03:40:38,52
10-Feb-2014 03:41:08,53
10-Feb-2014 03:49:38,52
10-Feb-2014 03:50:38,53
10-Feb-2014 03:53:08,52
10-Feb-2014 03:54:38,53
10-Feb-2014 04:01:38,52
10-Feb-2014 04:02:38,53
10-Feb-2014 04:03:08,649
10-Feb-2014 04:03:38,233
10-Feb-2014 04:04:08,589
10-Feb-2014 04:04:38,584
10-Feb-2014 04:05:09,582
10-Feb-2014 04:05:38,580
10-Feb-2014 04:06:08,826
10-Feb-2014 04:06:38,822
10-Feb-2014 04:07:08,816
10-Feb-2014 04:08:08,813
10-Feb-2014 04:08:38,812
10-Feb-2014 04:09:08,809
10-Feb-2014 04:10:08,807
10-Feb-2014 04:10:38,805
10-Feb-2014 04:11:08,804
10-Feb-2014 04:12:08,803
10-Feb-2014 04:12:38,805
10-Feb-2014 04:13:08,801
10-Feb-2014 04:14:08,641
10-Feb-2014 04:14:38,645
10-Feb-2014 04:15:08,646
10-Feb-2014 04:16:08,280
10-Feb-2014 04:16:44,279
10-Feb-2014 04:23:38,278
10-Feb-2014 04:24:08,279
10-Feb-2014 04:24:38,278
10-Feb-2014 04:25:09,53
10-Feb-2014 04:26:09,52
10-Feb-2014 04:26:39,53
10-Feb-2014 04:28:09,52
10-Feb-2014 04:28:39,53
10-Feb-2014 04:29:39,52
10-Feb-2014 04:32:09,53
10-Feb-2014 04:32:39,52
10-Feb-2014 04:33:09,53
10-Feb-2014 04:34:09,52
10-Feb-2014 04:34:39,53
10-Feb-2014 04:41:09,52
10-Feb-2014 04:41:39,53
10-Feb-2014 04:42:09,52
10-Feb-2014 04:42:39,53
10-Feb-2014 04:43:09,52
10-Feb-2014 04:46:36,613
10-Feb-2014 04:47:07,233
10-Feb-2014 04:47:36,585
10-Feb-2014 04:48:06,584
10-Feb-2014 04:48:36,582
10-Feb-2014 04:49:06,581
10-Feb-2014 04:49:36,577
10-Feb-2014 04:50:36,576
10-Feb-2014 04:51:06,574
10-Feb-2014 04:52:06,573
10-Feb-2014 04:52:36,571
10-Feb-2014 04:53:36,570
10-Feb-2014 04:54:06,569
10-Feb-2014 04:54:36,568
10-Feb-2014 04:56:36,566
10-Feb-2014 04:57:36,565
10-Feb-2014 04:58:07,414
10-Feb-2014 04:58:37,416
10-Feb-2014 04:59:10,417
10-Feb-2014 04:59:37,419
10-Feb-2014 05:00:07,421
10-Feb-2014 05:00:37,53
10-Feb-2014 05:01:07,52
10-Feb-2014 05:01:37,297
10-Feb-2014 05:02:07,292
10-Feb-2014 05:02:37,289
10-Feb-2014 05:03:07,288
10-Feb-2014 05:03:37,287
10-Feb-2014 05:04:07,286
10-Feb-2014 05:04:37,285
10-Feb-2014 05:07:07,284
10-Feb-2014 05:08:07,283
10-Feb-2014 05:09:37,282
10-Feb-2014 05:10:07,281
10-Feb-2014 05:11:07,279
10-Feb-2014 05:11:37,280
10-Feb-2014 05:13:07,279
10-Feb-2014 05:14:07,278
10-Feb-2014 05:15:37,370
10-Feb-2014 05:16:07,279
10-Feb-2014 05:17:07,278
10-Feb-2014 05:18:07,279
10-Feb-2014 05:18:37,278
10-Feb-2014 05:19:07,279
10-Feb-2014 05:20:07,54
10-Feb-2014 05:21:07,53
10-Feb-2014 05:28:37,54
10-Feb-2014 05:30:07,238
10-Feb-2014 05:30:37,619
10-Feb-2014 05:31:07,235
10-Feb-2014 05:31:37,585
10-Feb-2014 05:32:07,584
10-Feb-2014 05:32:37,582
10-Feb-2014 05:33:07,580
10-Feb-2014 05:33:37,578
10-Feb-2014 05:34:07,579
10-Feb-2014 05:34:37,577
10-Feb-2014 05:35:07,576
10-Feb-2014 05:35:37,575
10-Feb-2014 05:36:07,573
10-Feb-2014 05:37:07,571
10-Feb-2014 05:37:37,572
10-Feb-2014 05:38:07,568
10-Feb-2014 05:38:37,571
10-Feb-2014 05:39:07,570
10-Feb-2014 05:39:37,569
10-Feb-2014 05:40:07,567
10-Feb-2014 05:40:37,568
10-Feb-2014 05:42:07,567
10-Feb-2014 05:43:07,566
10-Feb-2014 05:43:37,567
10-Feb-2014 05:44:07,566
10-Feb-2014 05:44:37,565
